longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.934861,37.8568863,4739,4A450,街区多角点節点,206138.932,38265.285,3.981,38.28, 
138.937638,37.8567277,4740,4A449,街区多角点節点,206122.476,38509.737,4.339,38.284, 
138.9257771,37.8569841,4741,4A448,街区多角点節点,206146.102,37465.902,20.284,38.271,撤去及び亡失
138.9430005,37.8571201,4742,4A447,街区多角点節点,206168.253,38981.398,1.338,38.288, 
138.9374472,37.8572889,4743,4A446,街区多角点節点,206184.688,38492.656,3.44,38.282, 
138.9255323,37.857418,4744,4A445,街区多角点節点,206194.164,37444.141,24.247,38.269,撤去及び亡失
138.9302499,37.8574103,4745,4A444,街区多角点節点,206195.217,37859.267,9.423,38.274, 
138.9344936,37.8574759,4746,4A443,街区多角点節点,206204.225,38232.655,4.905,38.278, 
138.9405052,37.8573274,4747,4A442,街区多角点節点,206190.229,38761.719,1.858,38.285, 
138.9391543,37.8576003,4748,4A441,街区多角点節点,206219.954,38642.706,5.101,38.283, 
138.9312591,37.857636,4749,4A440,街区多角点節点,206220.672,37947.953,6.576,38.275, 
138.9435969,37.8576837,4750,4A439,街区多角点節点,206231.056,39033.58,1.648,38.287, 
138.9322822,37.8577723,4751,4A438,街区多角点節点,206236.213,38037.916,3.41,38.275, 
138.9282527,37.8578644,4752,4A437,街区多角点節点,206244.8,37683.291,18.972,38.271,撤去及び亡失
138.9562872,37.8671286,4754,4A339,街区多角点節点,207284.662,40145.129,-0.491,38.273, 
138.9288274,37.8675969,4756,4A337,街区多角点節点,207325.187,37728.902,8.366,38.243, 
138.9546355,37.8673829,4757,4A336,街区多角点節点,207312.184,39999.66,0.914,38.271, 
138.9577804,37.871951,4759,4A278,街区多角点節点,207820.51,40273.877,20.527,38.262, 
138.9286352,37.8682441,4762,4A332,街区多角点節点,207396.936,37711.663,9.03,38.242,撤去及び亡失
138.9520962,37.8679358,4763,4A331,街区多角点節点,207372.458,39775.952,14.824,38.266, 
138.9351914,37.8685084,4766,4A328,街区多角点節点,207428.933,38288.342,3.259,38.247, 
138.9531185,37.8684825,4768,4A326,街区多角点節点,207433.561,39865.606,13.215,38.266, 
138.9580688,37.8814278,4805,4A190,街区多角点節点,208872.415,40294.088,7.875,38.237, 
138.9588735,37.8817746,4811,4A184,街区多角点節点,208911.254,40364.68,8.131,38.237, 
138.9608833,37.8827519,4817,4A178,街区多角点節点,209020.585,40540.93,7.156,38.237, 
138.9582318,37.8828755,4819,4A176,街区多角点節点,209033.152,40307.636,10.072,38.233, 
138.9601193,37.8838721,4824,4A171,街区多角点節点,209144.589,40473.124,6.626,38.233, 
138.9597234,37.8840288,4826,4A169,街区多角点節点,209161.793,40438.219,13.294,38.232, 
138.9610688,37.8842522,4828,4A167,街区多角点節点,209187.171,40556.438,6.259,38.233, 
138.9601127,37.8843259,4830,4A165,街区多角点節点,209194.949,40472.292,9.643,38.232, 
138.9606622,37.8847033,4834,4A161,街区多角点節点,209237.062,40520.428,9.598,38.232, 
138.9614417,37.8851922,4836,4A159,街区多角点節点,209291.666,40588.713,9.223,38.231, 
138.934097,37.8627157,4846,4A387,街区多角点節点,206785.595,38195.052,28.229,38.262, 
