longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.1804159,37.9161774,4991,60A75,街区多角点,212848.435,59824.939,1.91,38.793, 
139.1739338,37.917986,4992,60A74,街区多角点,213045.02,59253.541,1.642,38.757, 
139.1764905,37.9191122,4993,60A73,街区多角点,213171.644,59477.429,1.663,38.765, 
139.1792582,37.9185881,4994,60A72,街区多角点,213115.244,59721.197,1.244,38.78, 
139.1762658,37.9217207,4995,60A71,街区多角点,213461.001,59455.573,2.192,38.756, 
139.1802879,37.9206504,4996,60A70,街区多角点,213344.799,59810.053,0.947,38.778, 
139.1832407,37.9200824,4997,60A69,街区多角点,213283.659,60070.127,0.885,38.794, 
139.1781685,37.9231022,4998,60A68,街区多角点,213615.557,59621.739,1.739,38.76, 
139.1814434,37.9224447,4999,60A67,街区多角点,213544.671,59910.194,0.329,38.778, 
139.1838667,37.922061,5000,60A66,街区多角点,213503.651,60123.559,0.592,38.791, 
139.1845981,37.9177176,5001,60A65,街区多角点,213022.064,60191.395,0.947,38.808, 
139.1878986,37.9171403,5002,60A64,街区多角点,212960.131,60482.067,0.972,38.826, 
139.190258,37.9165751,5003,60A63,街区多角点,212898.936,60689.971,1.499,38.839, 
139.1917578,37.9184601,5004,60A62,街区多角点,213109.127,60820.299,1.316,38.84, 
139.1883932,37.9190471,5005,60A61,街区多角点,213172.089,60523.983,1.134,38.822, 
139.185137,37.9197182,5006,60A60,街区多角点,213244.458,60237.149,1.052,38.804, 
139.1855236,37.9215202,5007,60A59,街区多角点,213444.707,60269.665,0.549,38.8, 
139.1861116,37.9234401,5008,60A58,街区多角点,213658.168,60319.79,1.057,38.797, 
139.1855013,37.9253433,5009,60A57,街区多角点,213868.994,60264.58,1.382,38.788, 
139.2187452,37.9244815,4625,60A11,街区多角点,213795.365,63187.939,2.009,38.956, 
139.2149238,37.924504,4626,60A10,街区多角点,213795.279,62851.953,1.575,38.937, 
139.2296642,37.9171949,4627,60A08,街区多角点,212994.102,64154.214,1.457,39.041, 
139.2288851,37.9195639,4628,60A07,街区多角点,213256.498,64083.658,1.409,39.028, 
139.2274036,37.9224126,4629,60A06,街区多角点,213571.64,63950.939,1.966,39.01, 
139.225874,37.9237552,4630,60A05,街区多角点,213719.606,63815.292,2.129,38.996, 
139.2244886,37.9252303,4631,60A04,街区多角点,213882.373,63692.221,1.62,38.983, 
139.2221677,37.9269858,4632,60A03,街区多角点,214075.636,63486.679,2.077,38.965, 
139.2196056,37.9263118,4633,60A02,街区多角点,213999.087,63262.018,1.985,38.954, 
139.2185833,37.9272286,4634,60A01,街区多角点,214100.146,63171.358,1.778,38.946, 
139.2206256,37.9039262,5207,60A56,街区多角点,211515.282,63370.883,1.87,39.045, 
139.0910131,37.9405106,5870,10D21,街区多角点,215495.461,51947.077,8.038,38.376, 
139.0950012,37.9409301,5871,10D20,街区多角点,215544.26,52297.314,8.691,38.388, 
139.0940226,37.941937,5876,10D15,街区多角点,215655.469,52210.595,5.372,38.382, 
139.0955296,37.9429259,5877,10D14,街区多角点,215766.062,52342.343,6.851,38.384, 
139.0813019,37.9407736,5880,10D11,街区多角点,215519.291,51093.329,-0.248,38.346, 
139.0850926,37.9421312,5881,10D10,街区多角点,215672.051,51425.563,0.136,38.354, 
139.0923601,37.9453541,5882,10D09,街区多角点,216033.787,52062.056,0.382,38.368, 
139.0935907,37.9475528,5887,10B17,街区多角点,216278.496,52168.659,1.157,38.367, 
139.093017,37.9491134,5888,10B16,街区多角点,216451.37,52117.13,0.723,38.361, 
139.0948347,37.9519788,5895,10B09,街区多角点,216770.416,52274.859,-0.045,38.359, 
139.0944606,37.9533639,5896,10B08,街区多角点,216923.93,52240.994,-0.152,38.355, 
139.0872412,37.9364631,5972,10D41,街区多角点,215044.167,51618.377,2.265,38.375, 
139.0909325,37.9366688,5973,10D40,街区多角点,215069.042,51942.697,4.673,38.386, 
139.0927314,37.9360534,5974,10D39,街区多角点,215001.745,52101.251,3.365,38.393, 
139.0899895,37.9378271,5983,10D30,街区多角点,215197.07,51858.995,11.158,38.38, 
139.0805995,37.937225,5984,10D29,街区多角点,215125.061,51034.03,3.788,38.353, 
139.0826265,37.9378127,5985,10D28,街区多角点,215191.392,51211.804,11.156,38.357, 
139.0961348,37.9396828,5986,10D27,街区多角点,215406.468,52397.849,13.508,38.394, 
139.0704067,37.9415094,5413,20C17,街区多角点,215595.031,50135.183,-0.127,38.313, 
139.0722291,37.9362213,5417,20C13,街区多角点,215009.111,50298.962,-0.886,38.33, 
