longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
139.0632116,37.9090019,836,3007A,街区三角点,211983.338,49524.573,0.13,38.38,0.99993,375432.4071,1390347.5619, 
139.0544195,37.9091879,837,3006A,街区三角点,211999.346,48751.334,0.34,38.35,0.999929,375433.0766,1390315.9104,撤去及び亡失
139.0689075,37.9118763,840,3003A,街区三角点,212305.389,50023.487,14.66,38.38,0.999931,375442.7548,1390408.0672, 
139.0762893,37.9122331,841,3002A,街区三角点,212348.974,50672.327,18.41,38.4,0.999932,375444.0393,1390434.6419, 
139.0305341,37.8933642,848,2051A,街区三角点,210230.934,46661.014,-0.15,38.33,0.999927,375336.1112,1390149.923,撤去及び亡失
139.0355975,37.9011074,852,2047A,街区三角点,211092.854,47101.417,-0.07,38.32,0.999927,375403.9866,1390208.1514, 
139.0386298,37.9070399,858,2041A,街区三角点,211752.81,47364.275,1.97,38.32,0.999928,375425.3437,1390219.0673, 
139.0440194,37.9088687,860,2039A,街区三角点,211958.537,47837.036,16.6,38.32,0.999928,375431.9276,1390238.4703, 
139.0327255,37.9108383,863,2036A,街区三角点,212171.399,46842.671,17.97,38.29,0.999927,375439.0182,1390157.8119, 
139.0609316,37.9134752,864,2034A,街区三角点,212478.597,49321.101,0.78,38.36,0.99993,375448.5109,1390339.354, 
139.0761748,37.9325339,865,2007A,街区三角点,214602.009,50648.321,-0.19,38.35,0.999932,375557.1224,1390434.2292, 
139.05498,37.9330394,866,2006A,街区三角点,214646.807,48784.863,19.89,38.29,0.999929,375558.9422,1390317.9282, 
139.0787423,37.9357033,867,2005A,街区三角点,214955.168,50871.841,12.27,38.35,0.999932,375608.5323,1390443.4725, 
139.0833022,37.9101994,872,1056A,街区三角点,212127.102,51290.373,0.53,38.43,0.999932,375436.7181,1390459.8881, 
139.0891621,37.9108461,873,1055A,街区三角点,212202.111,51805.19,15.88,38.45,0.999933,375439.0461,1390520.9837, 
139.0791686,37.9138726,875,1053A,街区三角点,212532.506,50924.363,0.28,38.41,0.999932,375449.9416,1390445.007, 
139.0941444,37.9182384,879,1049A,街区三角点,213025.329,52238.067,0.58,38.44,0.999934,375505.6584,1390538.9202, 
139.0869637,37.9216236,881,1047A,街区三角点,213397.035,51604.354,-0.21,38.41,0.999933,375517.8451,1390513.0695, 
139.0921438,37.9239551,884,1044A,街区三角点,213658.686,52058.134,0,38.42,0.999933,375526.2387,1390531.7178, 
139.082104,37.9242917,885,1043A,街区三角点,213690.477,51175.248,-0.82,38.39,0.999932,375527.4502,1390455.5746, 
139.0909384,37.9283657,890,1038A,街区三角点,214147.514,51949.052,0.49,38.41,0.999933,375542.1165,1390527.3782, 
139.0843101,37.9287268,891,1037A,街区三角点,214183.926,51366.118,0.67,38.39,0.999932,375543.4167,1390503.5168, 
139.0959437,37.9321817,894,1034A,街区三角点,214573.846,52386.361,-0.28,38.41,0.999934,375555.8544,1390545.3972, 
139.0830122,37.9329593,895,1033A,街区三角点,214652.954,51249.075,2.53,38.37,0.999932,375558.6536,1390458.8441, 
139.0381871,37.9289953,773,2012A,街区三角点,214189.3,47311.286,29.72,38.26,0.999928,375544.383,1390217.4739, 
139.0794266,37.8919976,774,3038A,街区三角点,210104.841,50962.136,15.05,38.48,0.999932,375331.1912,1390445.936,撤去及び亡失
139.0440322,37.8925748,775,3037A,街区三角点,210150.164,47848.7,11.32,38.37,0.999928,375333.2694,1390238.5159, 
139.0382657,37.8930968,776,3036A,街区三角点,210205.151,47341.199,0.4,38.35,0.999928,375335.1485,1390217.757,撤去及び亡失
139.0927439,37.8934499,777,3035A,街区三角点,210273.392,52132.41,0.84,38.52,0.999933,375336.4198,1390533.8781, 
139.0868166,37.8944031,778,3034A,街区三角点,210375.886,51610.437,12.3,38.49,0.999933,375339.8513,1390512.5402, 
139.1056753,37.895976,781,3031A,街区三角点,210561.055,53267.937,11.9,38.56,0.999935,375345.5137,1390620.4314, 
139.1098444,37.8983856,785,3027A,街区三角点,210830.879,53632.851,0.86,38.56,0.999935,375354.1884,1390635.44, 
139.1011743,37.8990635,787,3025A,街区三角点,210901.169,52869.861,10.04,38.53,0.999934,375356.629,1390604.2274, 
139.1147696,37.9011003,788,3024A,街区三角点,211135.016,54064.013,15.09,38.57,0.999936,375403.9614,1390653.1706, 
139.1070763,37.9018697,792,3020A,街区三角点,211215.97,53386.897,0.68,38.54,0.999935,375406.7311,1390625.4751, 
139.1012751,37.9032192,794,3018A,街区三角点,211362.441,52875.755,18.52,38.52,0.999934,375411.5893,1390604.5904, 
139.1193313,37.9046667,799,3013A,街区三角点,211533.486,54462.552,15.32,38.58,0.999937,375416.8004,1390709.5927, 
139.1084486,37.9050839,800,3012A,街区三角点,211573.485,53505.247,34.54,38.53,0.999935,375418.3022,1390630.4152, 
139.1150031,37.9060194,801,3011A,街区三角点,211681.094,54080.953,0.57,38.56,0.999936,375421.6701,1390654.0114, 
139.1261271,37.9079392,803,3009A,街区三角点,211900.67,55057.739,1.24,38.59,0.999937,375428.5812,1390734.058, 
139.1119395,37.9098795,838,3005A,街区三角点,212107.738,53808.731,8.41,38.53,0.999936,375435.5665,1390642.9822, 
139.1170893,37.9104615,839,3004A,街区三角点,212175.311,54261.142,14.31,38.55,0.999936,375437.6616,1390701.5216, 
139.1205437,37.9148378,842,3001A,街区三角点,212663.033,54561.666,0.6,38.55,0.999937,375453.4163,1390713.9577, 
139.095959,37.911994,874,1054A,街区三角点,212333.31,52402.032,0.9,38.47,0.999934,375443.1785,1390545.4524, 
139.1135011,37.9148597,876,1052A,街区三角点,212661.36,53942.417,-0.23,38.52,0.999936,375453.4949,1390648.6042, 
139.1189069,37.9171459,877,1051A,街区三角点,212918.241,54416.047,0.79,38.53,0.999936,375501.7254,1390708.0652, 
139.1092838,37.9177377,878,1050A,街区三角点,212978.346,53569.515,1.1,38.5,0.999935,375503.8558,1390633.4218, 
139.1251094,37.9198115,880,1048A,街区三角点,213217.721,54959.406,0.24,38.55,0.999937,375511.3215,1390730.394, 
139.1160559,37.9215997,882,1046A,街区三角点,213410.88,54162.101,1.24,38.51,0.999936,375517.7588,1390657.8012, 
139.1098592,37.9225032,883,1045A,街区三角点,213507.585,53616.646,0.56,38.49,0.999935,375521.0118,1390635.4933, 
139.1199299,37.924678,886,1042A,街区三角点,213754.794,54500.431,18.45,38.52,0.999937,375528.841,1390711.7479, 
139.1287007,37.9247438,887,1041A,街区三角点,213767.267,55271.469,0.04,38.55,0.999938,375529.0781,1390743.3229, 
139.0986415,37.9251854,888,1040A,街区三角点,213798.877,52628.508,0.01,38.44,0.999934,375530.6677,1390555.1097, 
139.10967,37.9283641,889,1039A,街区三角点,214157.947,53595.751,0.65,38.47,0.999935,375542.1109,1390634.8119, 
139.1030708,37.929444,892,1036A,街区三角点,214274.029,53014.843,1.71,38.44,0.999935,375545.9986,1390611.055, 
139.1280632,37.9294297,893,1035A,街区三角点,214286.947,55211.913,0.72,38.53,0.999938,375545.947,1390741.0277, 
139.1085835,37.9339627,896,1032A,街区三角点,214778.685,53496.188,0.32,38.45,0.999935,375602.2658,1390630.9008, 
139.1032282,37.9354312,897,1031A,街区三角点,214938.606,53024.384,2.03,38.43,0.999935,375607.5524,1390611.6218, 
139.1010531,37.8920124,722,3039A,街区三角点,210118.524,52864.259,0.55,38.55,0.999934,375331.2447,1390603.7917, 
139.226908,37.9075904,651,6015A,街区三角点,211926.255,63920.186,0.647,39.064,0.99995,375427.3257,1391336.8689, 
139.2061714,37.9092171,652,6014A,街区三角点,212092.78,62095.333,1.316,38.947,0.999947,375433.1817,1391222.217, 
