longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.110137,37.7974945,15468,7A668,補助点,199633.731,53731.742,4.271, 
139.109633,37.7980092,15469,7A667,補助点,199690.577,53686.994,4.158, 
139.1153141,37.7889441,14846,7A735,補助点,198687.776,54193.92,4.748, 
139.1149052,37.7893263,14847,7A734,補助点,198729.953,54157.625,4.809, 
139.1130276,37.7891881,14848,7A733,補助点,198713.537,53992.359,3.933, 
139.1114175,37.7904024,14849,7A732,補助点,198847.377,53849.661,4.301, 
139.1118679,37.7904376,14850,7A731,補助点,198851.534,53889.301,4.085, 
139.1127025,37.7905883,14851,7A730,補助点,198868.748,53962.701,4.351, 
139.1126231,37.7916676,14852,7A729,補助点,198988.483,53954.921,4.686, 
139.1397357,37.7867553,14853,7A959,補助点,198459.29,56346.542,41.123,撤去及び亡失
139.1388585,37.7870927,14854,7A958,補助点,198496.214,56269.023,44.482, 
139.1390792,37.7884684,14855,7A956,補助点,198649.023,56287.415,19.258, 
139.1380657,37.7896718,14856,7A955,補助点,198781.968,56197.243,22.448, 
139.134941,37.7900108,14857,7A954,補助点,198817.719,55921.776,26.333, 
139.1313364,37.786323,14858,7A953,補助点,198406.282,55607.06,36.687, 
139.1337139,37.7863804,14859,7A952,補助点,198414.078,55816.435,51.853, 
139.1335871,37.7880323,14860,7A950,補助点,198597.333,55804.024,28.178, 
139.1328906,37.7885108,14861,7A949,補助点,198650.029,55742.317,26.279, 
139.133203,37.7896601,14862,7A948,補助点,198777.753,55768.963,21.584, 
139.1058366,37.7962629,14865,7A688,補助点,199494.586,53353.915,4.382, 
139.1057493,37.7965229,14866,7A687,補助点,199523.396,53346.043,4.512, 
139.1061424,37.7972766,14867,7A686,補助点,199607.264,53380.111,4.26, 
139.1119366,37.7972152,15470,7A666,補助点,199603.773,53890.435,4.653, 
139.1108266,37.7978152,15471,7A665,補助点,199669.728,53792.247,4.186, 
139.1123016,37.7986937,15472,7A664,補助点,199768.07,53921.505,4.01, 
139.112683,37.7953774,15473,7A663,補助点,199400.247,53957.507,5.214, 
139.1137043,37.7951268,15474,7A662,補助点,199373.021,54047.633,5.351, 
139.1127603,37.7956884,15475,7A660,補助点,199434.807,53964.084,5.174, 
139.1130053,37.7968668,15476,7A659,補助点,199565.722,53984.802,4.819, 
139.1086157,37.7942252,15508,7A699,補助点,199270.026,53600.131,4.789, 
139.1181221,37.7897907,14227,7A736,補助点,198783.362,54440.611,5.14, 
139.1035976,37.7938364,14870,7A707,補助点,199224.016,53158.478,4.153, 
139.1198401,37.7880826,14876,7A985,補助点,198594.796,54593.184,5.323, 
139.119082,37.7884871,14877,7A984,補助点,198639.242,54526.116,5.331, 
139.1194393,37.788532,14878,7A983,補助点,198644.443,54557.554,5.381, 
139.1195145,37.7894011,14879,7A982,補助点,198740.936,54563.534,5.148, 
139.1184021,37.7884819,14880,7A981,補助点,198638.272,54466.232,5.083, 
139.1494851,37.7821133,14881,7A980,補助点,197950.023,57208.831,8.977, 
139.1492227,37.7829748,14882,7A979,補助点,198045.486,57185.059,9.184, 
139.148029,37.7840809,14883,7A978,補助点,198167.513,57079.061,8.264, 
139.1469617,37.7837768,14884,7A977,補助点,198133.1,56985.287,12.525, 
139.1143863,37.7969776,14900,7A658,補助点,199578.825,54106.348,4.603, 
139.1136909,37.7970495,14901,7A657,補助点,199586.404,54045.051,5.007, 
139.1136021,37.7973765,14902,7A656,補助点,199622.648,54036.996,4.567, 
139.1130543,37.7979425,14903,7A655,補助点,199685.131,53988.333,4.378, 
139.1136506,37.7983161,14904,7A654,補助点,199726.944,54040.576,4.221, 
139.1079712,37.793891,15509,7A698,補助点,199232.565,53543.614,4.719, 
139.1071867,37.7938222,15510,7A697,補助点,199224.488,53474.57,4.632, 
139.1062836,37.7940073,15511,7A696,補助点,199244.519,53394.903,4.302, 
139.1051309,37.7936631,15512,7A695,補助点,199205.656,53293.63,4.726, 
139.1054847,37.7940415,15513,7A694,補助点,199247.843,53324.52,4.663, 
139.104644,37.7946371,15514,7A693,補助点,199313.479,53250.058,4.801, 
139.1056351,37.7952196,15515,7A691,補助点,199378.685,53336.928,4.707, 
139.128994,37.7937206,16183,7A887,補助点,199225.904,55395.229,5.882, 
139.1289795,37.7928188,16184,7A886,補助点,199125.813,55394.625,5.834, 
139.1284424,37.7930106,16185,7A885,補助点,199146.787,55347.173,5.831, 
139.127744,37.7927437,16186,7A884,補助点,199116.742,55285.869,5.608, 
139.1260716,37.7927921,16187,7A883,補助点,199121.134,55138.535,6.048, 
139.1217486,37.795188,16188,7A882,補助点,199384.496,54756.035,5.508, 
139.1362334,37.7983707,14243,7A825,補助点,199746.309,56029.29,5.969, 
139.135406,37.7987609,14244,7A824,補助点,199789.117,55956.139,6.365,撤去及び亡失
139.1366171,37.7991108,14245,7A823,補助点,199828.672,56062.523,6.21, 
139.1374571,37.7990084,14246,7A822,補助点,199817.802,56136.577,6.274, 
139.1373265,37.7997099,14247,7A820,補助点,199895.587,56124.549,6.27, 
139.1369628,37.7998686,14248,7A818,補助点,199912.981,56092.397,6.341, 
139.1476377,37.7952091,14249,7A817,補助点,199402.31,57036.049,7.521, 
139.1480796,37.7965641,14250,7A816,補助点,199552.967,57073.913,7.209, 
139.1468384,37.7959023,14251,7A815,補助点,199478.769,56965.111,7.321, 
139.1462216,37.7968448,14252,7A814,補助点,199582.982,56910.07,6.973, 
139.1088997,37.7931396,14938,7A717,補助点,199149.704,53625.936,4.369, 
139.1098534,37.7932125,14939,7A716,補助点,199158.349,53709.875,4.556, 
139.1079738,37.7919804,14940,7A715,補助点,199020.526,53545.226,4.305, 
139.1070859,37.7930228,15585,7A714,補助点,199135.702,53466.276,4.318, 
139.1233594,37.7954866,16189,7A881,補助点,199418.57,54897.678,5.708, 
139.1220422,37.7959133,16190,7A880,補助点,199465.169,54781.356,5.399, 
139.1273268,37.7945229,16191,7A879,補助点,199313.967,55247.797,8.98, 
139.1261273,37.7937323,16192,7A878,補助点,199225.503,55142.743,5.759, 
139.1298954,37.7938871,16193,7A877,補助点,199244.914,55474.481,8.96, 
139.1297061,37.7949605,16194,7A875,補助点,199363.934,55457.012,7.154, 
139.1284192,37.7968095,16195,7A873,補助点,199568.371,55342.291,6.503, 
139.1270297,37.7966863,16196,7A872,補助点,199553.882,55220.029,7.044, 
139.1210741,37.792313,16197,7A871,補助点,199065.026,54698.753,5.58, 
139.1202168,37.7926014,16198,7A870,補助点,199096.524,54623.03,5.473,撤去及び亡失
139.1388058,37.7973595,16201,7A898,補助点,199635.622,56256.591,6.389, 
139.1391491,37.7974444,16202,7A897,補助点,199645.246,56286.761,7.754, 
139.1194401,37.7800399,14291,7B054,補助点,197701.967,54563.862,7.66, 
139.1199761,37.7797632,14292,7B053,補助点,197671.566,54611.284,8.908, 
139.1203808,37.780424,14293,7B052,補助点,197745.144,54646.449,10.625, 
139.1144791,37.7983633,14308,7A653,補助点,199732.661,54113.505,4.121, 
139.1204241,37.792846,16846,7A869,補助点,199123.79,54641.116,5.461, 
139.120879,37.7926861,16847,7A868,補助点,199106.318,54681.292,5.66, 
139.1221841,37.7942188,16848,7A867,補助点,199277.186,54795.103,5.293, 
